jd,latitude_deg,longitude_deg
2460482.98611111,-22.0232,110.9737
2460482.98680556,-24.9097,113.5962
2460482.98750000,-27.7367,116.3535
2460482.98819444,-30.4936,119.2674
2460482.98888889,-33.1679,122.3612
2460482.98958333,-35.7454,125.6596
2460482.99027778,-38.2102,129.1881
2460482.99097222,-40.5438,132.9719
2460482.99166667,-42.7257,137.0347
2460482.99236111,-44.7330,141.3965
2460482.99305556,-46.5405,146.0702
2460482.99375000,-48.1217,151.0586
2460482.99444444,-49.4497,156.3498
2460482.99513889,-50.4986,161.9140
2460482.99583333,-51.2453,167.7014
2460482.99652778,-51.6722,173.6432
2460482.99722222,-51.7684,179.6559
2460482.99791667,-51.5316,-174.3514
2460482.99861111,-50.9681,-168.4674
2460482.99930556,-50.0918,-162.7701
2460483.00000000,-48.9232,-157.3204
2460483.00069444,-47.4867,-152.1591
2460483.00138889,-45.8092,-147.3079
2460483.00208333,-43.9175,-142.7720
2460483.00277778,-41.8376,-138.5436
2460483.00347222,-39.5937,-134.6063
2460483.00416667,-37.2079,-130.9384
2460483.00486111,-34.6996,-127.5150
2460483.00555556,-32.0863,-124.3109
2460483.00625000,-29.3829,-121.3007
2460483.00694444,-26.6029,-118.4604
